id,title,original_language,release_date,vote_average,vote_count,popularity,genre_ids,Genres
532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,ja,8/30/19,8.094,538,20.098,"[16, 12, 35, 14]","['Animation', 'Adventure', 'Comedy', 'Fantasy']"
755812,"Miraculous World: New York, United HeroeZ",fr,9/25/20,8.093,1082,33.617,"[16, 10770, 14, 28]","['Animation', 'TV Movie', 'Fantasy', 'Action']"
149871,The Tale of The Princess Kaguya,ja,11/23/13,8.093,1753,20.11,"[16, 18, 14]","['Animation', 'Drama', 'Fantasy']"
3780,Red Beard,ja,4/3/65,8.093,349,11.173,[18],['Drama']
439,La Dolce Vita,it,2/5/60,8.093,1814,23.607,"[35, 18]","['Comedy', 'Drama']"
872585,Oppenheimer,en,7/19/23,8.091,8968,168.743,"[18, 36]","['Drama', 'History']"
10681,WALL·E,en,6/22/08,8.091,18565,91.913,"[16, 10751, 878]","['Animation', 'Family', 'Science Fiction']"
2457,Children of Paradise,fr,3/15/45,8.1,402,7.709,"[18, 10749]","['Drama', 'Romance']"
832,M,de,5/11/31,8.09,2138,14.33,"[18, 53, 80]","['Drama', 'Thriller', 'Crime']"
387,Das Boot,de,9/17/81,8.09,2175,17.357,"[18, 36, 10752]","['Drama', 'History', 'War']"
548,Rashomon,ja,8/26/50,8.086,2172,16.649,"[80, 18, 9648]","['Crime', 'Drama', 'Mystery']"
640344,Me Against You: Mr. S's Vendetta,it,1/17/20,8.082,465,7.52,"[10751, 14]","['Family', 'Fantasy']"
7345,There Will Be Blood,en,12/26/07,8.082,6505,26.479,[18],['Drama']
397567,Along with the Gods: The Two Worlds,ko,12/20/17,8.08,1027,44.984,"[28, 12, 18, 14, 53, 9648]","['Action', 'Adventure', 'Drama', 'Fantasy', 'Thriller', 'Mystery']"
550776,Believe Me: The Abduction of Lisa McVey,en,9/30/18,8.077,610,22.476,"[18, 10770, 80]","['Drama', 'TV Movie', 'Crime']"
4348,Pride & Prejudice,en,9/16/05,8.075,7932,66.971,"[18, 10749]","['Drama', 'Romance']"
831827,Far from the Tree,en,11/24/21,8.074,363,12.701,"[16, 10751]","['Animation', 'Family']"
472454,Ayla: The Daughter of War,tr,10/27/17,8.1,351,12.691,"[18, 10752, 36]","['Drama', 'War', 'History']"
21634,Prayers for Bobby,en,1/24/09,8.073,576,14.883,"[18, 36, 10770]","['Drama', 'History', 'TV Movie']"
62,2001: A Space Odyssey,en,4/2/68,8.073,11365,48.798,"[878, 9648, 12]","['Science Fiction', 'Mystery', 'Adventure']"
11659,The Best of Youth,it,6/22/03,8.072,517,12.069,"[18, 36, 10749]","['Drama', 'History', 'Romance']"
359940,"Three Billboards Outside Ebbing, Missouri",en,12/1/17,8.071,9982,31.727,"[80, 18]","['Crime', 'Drama']"
11645,Ran,ja,6/1/85,8.071,1509,26.19,"[28, 18, 36]","['Action', 'Drama', 'History']"
522518,A Dog's Journey,en,5/3/19,8.069,1479,36.057,"[10751, 12, 18]","['Family', 'Adventure', 'Drama']"
8392,My Neighbor Totoro,ja,4/16/88,8.069,7847,51.89,"[14, 16, 10751]","['Fantasy', 'Animation', 'Family']"
992,Sherlock Jr.,en,4/17/24,8.069,964,10.903,"[28, 35, 9648]","['Action', 'Comedy', 'Mystery']"
334543,Lion,en,11/24/16,8.068,6473,20.418,[18],['Drama']
8422,Rocco and His Brothers,it,10/7/60,8.064,574,15.832,"[18, 10749]","['Drama', 'Romance']"
437068,A Taxi Driver,ko,8/2/17,8.061,957,14.185,"[28, 18, 36]","['Action', 'Drama', 'History']"
1091,The Thing,en,6/25/82,8.06,6844,51.077,"[27, 9648, 878]","['Horror', 'Mystery', 'Science Fiction']"
381284,Hidden Figures,en,12/10/16,8.1,9598,70.245,"[18, 36]","['Drama', 'History']"
11423,Memories of Murder,ko,5/2/03,8.1,3731,28.185,"[80, 18, 53]","['Crime', 'Drama', 'Thriller']"
785534,Paper Lives,tr,3/12/21,8.056,378,10.359,[18],['Drama']
